Datum,Dekkingsgraad,Percentage
31-5-2016,Actuele dekkingsgraad,109.8
31-5-2016,Beleidsdekkingsgraad,109.0
31-5-2016,Minimaal vereiste dekkingsgraad,104.2
31-5-2016,Vereiste FTK dekkingsgraad,123.7
30-6-2016,Actuele dekkingsgraad,108.7
30-6-2016,Beleidsdekkingsgraad,109.1
30-6-2016,Minimaal vereiste dekkingsgraad,104.2
30-6-2016,Vereiste FTK dekkingsgraad,123.7
31-7-2016,Actuele dekkingsgraad,111.1
31-7-2016,Beleidsdekkingsgraad,109.3
31-7-2016,Minimaal vereiste dekkingsgraad,104.2
31-7-2016,Vereiste FTK dekkingsgraad,123.1
31-8-2016,Actuele dekkingsgraad,110.0
31-8-2016,Beleidsdekkingsgraad,109.6
31-8-2016,Minimaal vereiste dekkingsgraad,104.2
31-8-2016,Vereiste FTK dekkingsgraad,123.4
30-9-2016,Actuele dekkingsgraad,111.0
30-9-2016,Beleidsdekkingsgraad,109.7
30-9-2016,Minimaal vereiste dekkingsgraad,104.2
30-9-2016,Vereiste FTK dekkingsgraad,123.5
31-10-2016,Actuele dekkingsgraad,106.9
31-10-2016,Beleidsdekkingsgraad,109.5
31-10-2016,Minimaal vereiste dekkingsgraad,104.2
31-10-2016,Vereiste FTK dekkingsgraad,123.8
30-11-2016,Actuele dekkingsgraad,106.3
30-11-2016,Beleidsdekkingsgraad,109.3
30-11-2016,Minimaal vereiste dekkingsgraad,104.2
30-11-2016,Vereiste FTK dekkingsgraad,123.6
31-12-2016,Actuele dekkingsgraad,102.8
31-12-2016,Beleidsdekkingsgraad,108.7
31-12-2016,Minimaal vereiste dekkingsgraad,104.2
31-12-2016,Vereiste FTK dekkingsgraad,123.2
31-1-2017,Actuele dekkingsgraad,105.1
31-1-2017,Beleidsdekkingsgraad,108.2
31-1-2017,Minimaal vereiste dekkingsgraad,104.2
31-1-2017,Vereiste FTK dekkingsgraad,123.3
28-2-2017,Actuele dekkingsgraad,107.4
28-2-2017,Beleidsdekkingsgraad,108.0
28-2-2017,Minimaal vereiste dekkingsgraad,104.2
28-2-2017,Vereiste FTK dekkingsgraad,123.3
31-3-2017,Actuele dekkingsgraad,105.8
31-3-2017,Beleidsdekkingsgraad,107.8
31-3-2017,Minimaal vereiste dekkingsgraad,104.2
31-3-2017,Vereiste FTK dekkingsgraad,123.0
30-4-2017,Actuele dekkingsgraad,107.7
30-4-2017,Beleidsdekkingsgraad,107.7
30-4-2017,Minimaal vereiste dekkingsgraad,104.2
30-4-2017,Vereiste FTK dekkingsgraad,123.0
